mouse & wrist pads,3,keyboard & mice accessories,3,Score1 = 0.963788300836, Score2 = 0.989884393064(False)
pci express graphics cards,3,memory,3,Score1 = 0.514764565044, Score2 = 0.0(True)
desktop memory,3,memory,3,Score1 = 0.98752228164, Score2 = 0.0(True)
wireless mice,3,keyboard & mice accessories,3,Score1 = 0.720231213873, Score2 = 0.829855537721(False)
keyboards,3,keyboard & mice accessories,3,Score1 = 0.935196950445, Score2 = 0.985054347826(False)
cables chargers & adapters,3,bags & cases,3,Score1 = 1.0, Score2 = 0.0(True)
laptop bags & cases,3,bags & cases,3,Score1 = 0.964076858814, Score2 = 0.0(True)
corded mice,3,keyboard & mice accessories,3,Score1 = 0.895470383275, Score2 = 0.968871595331(False)
laptop batteries,3,bags & cases,3,Score1 = 1.0, Score2 = 0.0(True)
secure digital,3,memory cards,3,Score1 = 0.975409836066, Score2 = 0.963025210084(False)
laptop memory,3,memory,3,Score1 = 0.99292256453, Score2 = 0.0(True)
